ACCESSION_DATE,YEAR_INSTALLED,TITLE,ARTIST,MATERIAL,LOCATION,DETAILED_LOCATION,NOTES,POINT_X,POINT_Y
2010.10.1,2010,Chorus,Thomas Sayre,Earth Cast Concrete,Westerly Creek:  Donation from PCMD,,,3174156.357,1700426.859
1991.20.1,1991,Come on in!,Jim Sale,Mixed Media,Washington Park Rec Center,,,3148949.02,1681246.253
1996.4.1,1996,Tribute to African American and Women Firefig,Emanuel Martinez,Sandstone Relief,Firestation 10,,,3154714.586,1703005.761
1993.9.1,1993,Sun Signal and Sun Flag  2 pieces,Stan Meyer,Painted Metal,Ross Cherry Creek Library,,,3154042.423,1688006.358
1922.3.1,1922,Sea Lions Fountain,Robert Garrison,Bronze,Civic Center Park,,,3143720.226,1694892.343
1991.1.1,1991,Colorado Panorama: A Peoples History,Barbara Jo Revelle,Photographic Tile Mural,Colorado Convention Center,,,3141881.559,1695356.955
1950.1.1,1950,Frontier Trail,Allen True,Oil Painting on Canvas,City and County Building,,,3143160.603,1694551.201
1919.2.1,1919,"Wynken, Blynken and Nod",Mabel Landrum Torrey,Marble,Washington Park,,,3149428.448,1681648.948
1994.10.1,1994,A Different Sense of Time,Dick Alweis,Video Installation,Denver International Airport,,,3231776.715,1735439.139
1994.18.1,1994,Notre Denver,Terry Allen,Stone,Denver International Airport,,,3231776.715,1735178.721
1994.28.1,1994,Rearing Mustang,Luis Jimenez,Fiberglass,Denver International Airport,,,3232210.743,1735265.528
2003.35.1,2003,Red Rocks scenries ,Carol Fitzgerald,Watercolor,Red Rocks Amphitheater,,,3082520.924,1667454.089
1994.2.1,1994,Lost Borders,Sherry Wiggins,Found objects,6th Speer and Lincoln,,,3144451.702,1689841.525
1997.3.1,1997,3 Wild Spaces  one of three,Andrew Dufford,Etched Granite,Goldsmith Gulch 3 locations,On Pathway,,3167458.952,1667833.976
1965.2.1,1965,Untitled,Anthony Magar,Steel,University and 1st Triangle,,,3152163.568,1687301.982
1983.1.1,1983,Babi Yar Park,Satoru Nishita,Metal/wood/black granite,Babi Yar Park,,,3178020.91,1669049.465
2003.21.1,2003,Photo-Illustrations,Marcie Jan Bronstein,Digital Photographic Prints,Family Crisis Center,,,3133905.772,1692430.038
2008.3.1,2008,"Untitled",Keith White and Your Name in Grafitti,Aerosol Paint Mural,Globeville Pool and Argo Park,4700 Logan St,,3145664.162,1710216.265
1999.2.1,1999,Confluent People,Emanuel Martinez,Mural,Little Raven St and Speer Blvd. underpass,,,3138381.574,1699589.8
1991.17.1,1991,Medalions,John Boak,Acrylic on Metal,Harvard Gulch Recreation Center,,,3146153.619,1670941.736
2003.14.1,2003,Civic Source Point,Larry Kirkland,Aluminum and diachronic glass,Wellington E Webb Municipal Building,Atrium,,3143360.165,1695007.806
2003.2.1,2003,The Ensemble,Oyedelle Oginga,Wood Relief,Wellington E Webb Municipal Building,,,3143421.638,1695117.605
2005.6.1,2005,The Denver ,Kristine Smock,Steel,Sloans Lake Park,,,3130237.761,1696386.36
1991.15.1,1991,Parked Perspectives,Susan Cooper,Cast concrete,Congress Park Pool,,,3153080.811,1691317.613
1993.10.1,1993,Drums of Peace and Dignity,Nick Vigil,Painted Wood Sculpture,St. Charles Recreation Center,,,3148670.465,1705542.885
1994.29.1,1994,Continuum,Clay Wright,Acrylic,20th St. Recreation Center,,,3143343.111,1698946.303
1994.5.1,1994,Pursuing Perspectives,Susan Cooper,Oil on Sculpted Wood,Virginia Village Library,,,3160112.606,1676323.884
1991.7.1,1991,Taking The Heat,Joseph A Cipri,Bronze,Firestation 1,,,3141394.359,1694924.161
1930.1.1,1930,Grizzlys Last Stand,Louis Paul Jones,Bronze ,City Park,NW corner of DMNS Exterior,,3156364.749,1697822.966
2006.9.1,2006,Field Report,Robin Ault,Acrylic and gouche,Colorado Convention Center Hotel Hyatt,Outside of main ballroom,,3142294.83,1696113.606
2006.23.1,2006,Untitled,Erik Paddock,Video Installation,Colorado Convention Center Hotel Hyatt,Lobby Elevator,,3142366.165,1696096.484
2003.23.1,2003,The Lowry Trios,Steven Batura,Painting,Schlessman Family Library,,,3167589.536,1687202.091
2006.31.1,2006,Hope Trellis,Emmett  Culligan,Sandstone and Steel,Eddie Maestes Park,"Intersection of Broadway, Lawrence and Park Ave West",,3144024.705,1700327.378
2010.14.1,2010,Pathways,Juarez Mike,Tile Mosaic,Westwood Childcare Facility,,,3131129.727,1679728.107
2011.3.1,2011,Cloud Seeding,Erik  Carlson,"Video, film and text and computer interface",Green Valley Ranch Library,,,3206076.98,1711598.925
1924.2.1,1924,Faculty Row and Animal Spirits,Robert Garrison,Frieze,South High School ,,,3150074.666,1677420.953
1983.2.1,1983,Reflections,Frank Swanson,Stone,Denver Botanic Gardens ,,,3151741.765,1692107.739
